1,2,3,4
3,9,10,4
10,13,14,4
14,17,1,4
6,19,20,7
20,23,24,7
24,27,28,7
28,31,11,7
21,33,34,22
34,37,25,22
18,39,40,5
40,43,35,5
15,45,46,16
46,49,50,16
50,53,41,16
47,55,56,48
56,59,51,48
60,61,62,52
62,65,66,52
66,68,54,52
57,69,70,58
70,71,72,58
72,73,63,58
38,75,74,26
5,6,2,1
7,11,9,3
12,15,13,10
16,18,17,14
5,21,19,6
22,25,23,20
26,29,27,24
30,32,31,28
5,35,33,21
36,38,37,34
16,41,39,18
42,44,43,40
12,47,45,15
48,51,49,46
52,54,53,50
12,57,55,47
58,60,59,56
58,63,61,60
64,67,65,62
36,44,68,66
12,32,69,57
30,29,71,70
26,74,73,72
36,67,75,38
7,3,2,6
12,10,9,11
16,14,13,15
5,1,17,18
22,20,19,21
26,24,23,25
30,28,27,29
12,11,31,32
36,34,33,35
26,25,37,38
42,40,39,41
36,35,43,44
48,46,45,47
52,50,49,51
42,41,53,54
58,56,55,57
52,51,59,60
64,62,61,63
36,66,65,67
42,54,68,44
30,70,69,32
26,72,71,29
64,63,73,74
64,74,75,67
